name,id,nametype,type,diseases,group,mass (g),fall,year,reclat,reclong,GeoLocation
Meru,15491,Valid,Stony,Aids,LL6,6000,Fell,01/01/1945,6.386271,80.242837,"(0.000000, 37.666670)"
Meru,15492,Valid,Stony,Hepatice,LL7,6000,Fell,02/01/1945,6.386071,80.242837,
Meru,15493,Valid,Stony,malaria,LL8,6000,Fell,03/01/1945,6.986271,80.242837,
Meru,15494,Valid,Stony,dfdf,LL9,6000,Fell,04/01/1945,6.396271,80.242837,
Meru,15495,Valid,Stony,sdf,LL10,6000,Fell,05/01/1945,6.376271,80.242837,
Meru,15496,Valid,Stony,sdf,LL11,6000,Fell,06/01/1945,6.382271,80.242837,
Meru,15497,Valid,Stony,sdf,LL12,6000,Fell,07/01/1945,6.366271,80.242837,
Meru,15498,Valid,Stony,d,LL13,6000,Fell,08/01/1945,6.486271,80.242837,
Meru,15499,Valid,Stony,ss,LL14,6000,Fell,09/01/1945,6.385271,80.242837,
Meru,15500,Valid,Stony,q,LL15,6000,Fell,10/01/1945,6.386271,80.242837,
Meru,15501,Valid,Stony,ed,LL16,6000,Fell,11/01/1945,6.386291,80.242837,
Meru,15502,Valid,Stony,fw,LL17,6000,Fell,12/01/1945,6.386971,80.242837,
Meru,15503,Valid,Stony,aba,LL18,6000,Fell,13/01/1945,6.386071,80.242837,
Meru,15504,Valid,Stony,ev,LL19,6000,Fell,14/01/1945,6.386871,80.242837,
Meru,15505,Valid,Stony,fv,LL20,6000,Fell,15/01/1945,6.386571,80.242837,
Meru,15506,Valid,Stony,v,LL21,6000,Fell,16/01/1945,6.388271,80.242837,
Meru,15507,Valid,Stony,v,LL22,6000,Fell,17/01/1945,6.786271,80.242837,
Meru,15508,Valid,Stony,ev,LL23,6000,Fell,18/01/1945,6.389271,80.242837,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
